1,P49790
2,P18583-5
3,P53814
4,O15042
5,P23246
6,Q69YN4
7,Q9UDY2
8,Q9H910
9,Q14847
10,P53814
11,Q9ULW0
12,Q14980
13,Q9Y2W1
14,Q92917
15,P17096-2
16,Q9H0H5
17,Q96KB5
18,Q15642
19,Q8IVD9
20,P08670
21,P49792
22,Q8WUF5
23,Q9BQG0
24,O14646-2
25,P18615
26,Q9Y6A5
27,J3KPD3
28,Q96PK6
29,O00571
30,Q13111
31,P23246
32,Q9NYF8
33,Q14244
34,P29966
35,J3KNL6
36,P23246
37,Q15654
38,Q96FF9
39,Q12834
40,O14639-5
41,Q6NW34
42,O43663
43,Q14980
44,Q5VUA4
45,Q9H147
46,P53814
47,Q14980
48,Q6P4F7
49,P08670
50,Q8NC56
51,J3KNL6
52,P46013
53,Q6P4F7
54,P08670
55,P46087
56,Q9UEY8
57,O14639-5
58,O15446
59,P42167
60,A8CG34
61,Q86YP4
62,Q9BQG0
63,P49790
64,Q9H0H5
65,Q6NYC8
66,P49454
67,O43663
68,Q9NSI2
69,Q969G5
70,Q8WWK9
71,Q9ULW0
72,Q9UI10
73,Q9BY77
74,Q7Z333
75,Q99590
76,Q14980
77,P57740
78,Q86V48
79,Q7Z5J4
80,P18887
81,P08670
82,Q9UDY2
83,Q9BXS6
84,P52948
85,P54132
86,Q14980
87,Q9NW82
88,P09651
89,Q9BXS6
90,P46013
91,Q92917
92,Q07666
93,O75533
94,Q14684
95,Q8WYP5
96,P78332
97,P46013
98,Q07666
99,O75152
100,Q07666
101,Q14684
102,Q9NQS7
